File, Total value, Nearest Neighbour,node swap, node shift , two-opt, Cheapest insertion, node swap, node shift, two-opt, Farthest insertion, node swap, node shift, two-opt
a280.tsp, 280, 3148.1096 ,3100.4922 ,3033.6685 ,2920.514 ,3101.7944 ,3040.4458 ,2878.5476 ,2878.231 ,2986.705 ,2940.2517 ,2858.3533 ,2860.485 ,
berlin52.tsp, 52, 8980.919 ,8684.926 ,8492.881 ,8402.044 ,9014.893 ,8889.921 ,8434.786 ,8711.935 ,9004.92 ,8954.829 ,8652.12 ,8696.348 ,
bier127.tsp, 127, 135751.78 ,128779.734 ,126834.99 ,129000.664 ,140690.95 ,138983.58 ,134917.7 ,136181.45 ,145739.38 ,140765.61 ,136622.17 ,136877.8 ,
ch130.tsp, 130, 7575.2876 ,7403.3325 ,7217.9907 ,6950.749 ,7279.2065 ,6884.811 ,6867.9595 ,6869.2983 ,7436.069 ,7224.514 ,6839.9727 ,6962.068 ,
ch150.tsp, 150, 8194.613 ,8119.9307 ,7861.571 ,7308.6533 ,7994.2856 ,7696.0107 ,7380.507 ,7573.853 ,7916.704 ,7767.12 ,7456.4893 ,7580.593 ,
eil101.tsp, 101, 825.2422 ,729.1792 ,771.67584 ,742.0375 ,702.96027 ,689.19336 ,671.4186 ,689.19336 ,720.5735 ,709.176 ,682.8684 ,700.2708 ,
eil51.tsp, 51, 513.61 ,482.1675 ,468.70264 ,467.30704 ,496.2522 ,480.24893 ,467.63718 ,481.23123 ,490.63284 ,479.48203 ,462.09344 ,475.35492 ,
eil76.tsp, 76, 711.9934 ,639.7959 ,613.22955 ,654.86755 ,612.39087 ,598.3591 ,592.6441 ,599.6043 ,619.77985 ,609.91345 ,591.0005 ,609.84106 ,
kroA100.tsp, 100, 26856.39 ,24791.074 ,24787.625 ,25685.97 ,24307.787 ,23556.646 ,23544.865 ,23640.617 ,25785.799 ,24908.816 ,23509.068 ,23871.82 ,
kroB100.tsp, 100, 29155.047 ,28594.184 ,27467.197 ,26329.912 ,25580.914 ,24818.49 ,24270.105 ,24417.496 ,26874.355 ,26011.85 ,24109.367 ,24783.875 ,
kroC100.tsp, 100, 26327.37 ,25662.17 ,24678.48 ,25050.535 ,25262.178 ,24447.576 ,23959.115 ,24524.79 ,25637.123 ,25129.734 ,24408.244 ,25086.674 ,
kroD100.tsp, 100, 26950.465 ,26611.656 ,26318.77 ,25255.672 ,25204.27 ,24981.225 ,24253.424 ,24711.273 ,25215.07 ,24762.38 ,24454.324 ,24621.416 ,
kroE100.tsp, 100, 27587.191 ,26192.744 ,26261.863 ,25617.518 ,25902.004 ,25149.299 ,24574.729 ,24041.918 ,27314.766 ,25915.516 ,25187.623 ,26055.377 ,
lin105.tsp, 105, 20362.754 ,19635.105 ,19013.393 ,18824.49 ,16934.621 ,16538.703 ,16186.91 ,16287.588 ,18596.307 ,18421.111 ,17505.645 ,17081.396 ,
lin318.tsp, 318, 54033.57 ,53321.35 ,52261.49 ,49879.32 ,49454.81 ,48333.19 ,46760.02 ,47104.14 ,52299.113 ,50406.004 ,48321.64 ,47796.17 ,
pr124.tsp, 124, 69299.42 ,66644.75 ,66621.43 ,67351.86 ,65318.184 ,63935.63 ,62985.414 ,63393.74 ,68066.71 ,66671.48 ,65838.164 ,63207.008 ,
pr144.tsp, 144, 61650.727 ,61419.91 ,61231.004 ,61243.793 ,73033.125 ,72562.85 ,72442.53 ,61248.473 ,73615.11 ,72589.24 ,72486.48 ,61356.51 ,
pr76.tsp, 76, 153461.92 ,122826.0 ,146858.66 ,128556.82 ,125936.22 ,121129.484 ,123664.93 ,119412.61 ,128992.72 ,127818.086 ,126119.78 ,124586.625 ,
rat195.tsp, 195, 2761.9565 ,2735.2566 ,2670.7075 ,2651.3345 ,2814.5713 ,2691.9111 ,2613.8684 ,2638.72 ,2928.204 ,2732.328 ,2619.4976 ,2603.4521 ,
rat99.tsp, 99, 1564.7242 ,1475.0869 ,1454.0717 ,1420.7034 ,1482.0205 ,1419.1167 ,1359.9536 ,1418.2898 ,1472.5098 ,1420.1857 ,1356.4875 ,1350.1531 ,
st70.tsp, 70, 805.531 ,776.27936 ,764.25665 ,748.23914 ,778.9946 ,743.9246 ,750.023 ,755.92175 ,816.9694 ,805.024 ,735.3194 ,789.2936 ,
