File,Node Swap,Node Shift,Two-opt
a280.tsp, 1.9778433,7.1973443,7.207553
berlin52.tsp, 1.3862803,6.4349794,3.360639
bier127.tsp, 1.2135642,4.103498,3.2052524
ch130.tsp, 5.4181113,5.649614,5.6312213
ch150.tsp, 3.7311013,7.677719,5.2591643
eil101.tsp, 1.9584188,4.48698,1.9584188
eil51.tsp, 3.2248251,5.766226,3.0268815
eil76.tsp, 2.2913144,3.224536,2.0879736
kroA100.tsp, 3.0901234,3.1385903,2.7446756
kroB100.tsp, 2.9804401,5.124166,4.547992
kroC100.tsp, 3.2245896,5.158156,2.9189434
kroD100.tsp, 0.88494897,3.772558,1.9560022
kroE100.tsp, 2.9059722,5.124219,7.1812434
lin105.tsp, 2.3379204,4.41528,3.8207717
lin318.tsp, 2.267964,5.4489927,4.7531633
pr124.tsp, 2.1166458,3.5713937,2.9462628
pr144.tsp, 0.64391804,0.80866563,16.136036
pr76.tsp, 3.8168006,1.8035233,5.18009
rat195.tsp, 4.3580403,7.130851,6.24789
rat99.tsp, 4.244463,8.236519,4.3002586
st70.tsp, 4.5019574,3.7191038,2.9618788
