File,Node Swap,Node Shift,Two-opt
a280.tsp, 1.5125723,3.6352344,7.2295995
berlin52.tsp, 3.2958004,5.4341664,6.4456096
bier127.tsp, 5.135879,6.5684514,4.973133
ch130.tsp, 2.269948,4.7166114,8.244421
ch150.tsp, 0.9113623,4.0641637,10.811492
eil101.tsp, 11.640581,6.4909844,10.082459
eil51.tsp, 6.121858,8.743472,9.015197
eil76.tsp, 10.140193,13.871457,8.023369
kroA100.tsp, 7.690223,7.703067,4.3580685
kroB100.tsp, 1.9237263,5.7892194,9.690037
kroC100.tsp, 2.5266452,6.2630215,4.849835
kroD100.tsp, 1.257153,2.3439124,6.2885485
kroE100.tsp, 5.054691,4.804143,7.139813
lin105.tsp, 3.5734284,6.626615,7.554301
lin318.tsp, 1.3181041,3.2795947,7.688276
pr124.tsp, 3.830727,3.864379,2.810359
pr144.tsp, 0.37439364,0.68080735,0.66006297
pr76.tsp, 19.963207,4.302869,16.228848
rat195.tsp, 0.96670425,3.303782,4.0052066
rat99.tsp, 5.7286344,7.071699,9.204233
st70.tsp, 3.6313496,5.123869,7.112311
